city;count;lat;lng
Tikhoretsk (Тихорѣцкая)           ;1;45.8556;40.1248
Tiraspol (Тирасполь)              ;1;46.84;29.64
Tomsk (Томскъ)                    ;5;56.4846;84.9479
Troitsk (Троицкъ)                 ;4;54.0817;61.5598
Tuapse (Туапсе)                   ;1;44.0956;39.0757
Tula (Тула)                       ;7;54.1931;37.6173
Turkmenabat (Чарджуй)             ;1;39.0842;63.5786
Tver (Тверь)                      ;14;56.8584;35.9172
Ufa (Уфа)                         ;5;54.7351;55.9583
Veliky Ustyug (Великій Устюгъ)    ;4;60.759;46.3029
Ventspils (Виндава)               ;5;57.3905;21.5606
Viazma (Вязьма)                   ;2;55.208;34.308
Vilnius (Вильна)                  ;14;54.6872;25.2797
Vitebsk (Витебскъ)                ;3;55.1904;30.205
Vladimir (Владиміръ)              ;1;56.129;40.4058
Vladikavkaz (Владикавказъ)        ;1;43.0228;44.668
Vladivostok (Владивостокъ)        ;1;43.1155;131.8855
Volgograd (Царицынъ)              ;4;48.708;44.5133
Vologda (Вологда)                 ;3;59.2191;39.8924
Volodymyr-Volynskyi               ;1;50.8491;24.3228
Volsk (Вольскъ)                   ;1;52.0466;47.3819
Voronezh (Воронежъ)               ;4;51.6615;39.2003
Vorontsovo-Aleksandrovskoye (Zelenokumsk);1;44.5086;43.8778
Voznesensk (Вознесенскъ)          ;1;47.5668;31.3157
Warsaw (Варшава)                  ;26;52.2297;21.0122
Wloclawek (Włocławek)             ;2;52.6494;19.0581
Yalta (Ялта)                      ;3;44.499;34.16
Yaroslavl (Ярославль)             ;3;57.6265;39.8938
Yekaterinburg (Екатеринбургъ)     ;2;56.838;60.597
Yerevan (Эривань)                 ;1;40.1792;44.4991
Yermish (Ермишъ)                  ;1;54.7516;42.2708
Yevpatoria (Евпаторія)            ;4;45.1942;33.3606
Zaqatala (Закаталы)               ;2;41.6308;46.6444
Zawiercie (Заверце)               ;1;50.4877;19.414
Zharkent (Джаркентъ)              ;2;44.1667;79.9986
Zhytomyr (Житомірь)               ;1;50.2547;28.6587
Zlatopil (Златополь)              ;4;48.8678;31.9824
Zvenyhorodka (Звенигородка)       ;2;49.0699;30.9676
